,user,content,prediction
91,Hersheys,Hi Mary While classic milk chocolate products use different recipes,B
92,Hersheys,Heard familiar name last night 😊 If guessed Milton Hershey guessed correctly,C
93,Hersheys,Hi Were sorry say wont available year well certainly add vote bring back,B
94,Hersheys,We sorry see Hayden It looks like product exposed heat humidity sometime distribution process Please send us DM UPC manufacturing codes back bag help,B
95,Hersheys,We appreciate HERSHEYS fan Jo Thank sharing beautiful artworks,B
96,Hersheys,Hi Kellie Please send us DM get touch Thank 😊,B
97,Hersheys,Hi Bobby We actually came HERSHEYS Milk Chocolate Bar chopped almonds years back Well certainly make note request bring back,B
98,Hersheys,Well certainly make note request In meantime maybe youd like try unwrapped HERSHEYS MINI KISSES Milk Chocolate reintroduced last fall,B
99,Hersheys,Were sorry learn Ethan Please send us DM following information help 1 UPC barcode package 2 Manufacturing code series numbers letters 3 Store name location date purchase Thank,D
100,Hersheys,Well add vote bring back Trinn,B
101,Hersheys,Para darle seguimiento tu caso favor de enviar un mensaje al whatsApp 3316052614 con tu numero de caso 10411615 ¡Que tengas un dulce día,B
102,Hersheys,Looks delicious Carrie Thanks sharing sweet photo,D
103,Hersheys,Hmmm certainly shouldnt Please send us DM UPC barcode manufacturing code bag,B
104,Hersheys,Hi Tay Youll happy hear weve brought back HERSHEYS Unwrapped Mini Kisses We hope youll able track local retailers,B
105,Hersheys,Theyre currently available part HERSHEYS Miniatures assortment,B
106,Hersheys,Hi Keith Were sorry say long offer regular count KRACKEL Bar,B
107,Hersheys,Hi Could please send us UPC barcode product check Thanks,B
108,Hersheys,Hi sorry see Please send us DM contact information get touch,B
109,Hersheys,Hi Please send us DM zip code try track area,B
110,Hersheys,Were sorry hear Could please send us DM UPC barcode manufacturing code bag look Thanks,B
111,Hersheys,Dinner served 🙌 Check ArreolaChavez Family Chicken Mole recipe made HersheysCocoa late episode EAT MY LIFE Ad,C
112,Hersheys,Hola Para darle seguimiento tu queja favor de enviar un mensaje al 3316052614 ¡Que tengas un dulce día,B
113,Hersheys,We sorry hear disappointment Please send us DM UPC manufacturing codes back package help,A-
114,Hersheys,After 30 years decided evolve Bells commercial new version honors holiday baking traditions We share love iconic Bells ad airing original new Kisses holiday ad Keep eye,B
115,Hersheys,Three words Red Velvet Cake 😋 Check Aunt Mallie ’ delicious Red Velvet Cake made HERSHEY ’ S Cocoa allnew series EAT MY LIFE Ad,C
116,Hersheys,Well certainly make note request Brian Thanks reaching,B
117,Hersheys,Were sorry learn Please send us DM UPC barcode manufacturing code Best By date package,B
118,Hersheys,Good news Were running iconic Bells ad new Bells Blossoms ad holiday season everyone enjoy 😊,B
119,Hersheys,Think youll try making,C
120,Hersheys,😊 We share excitement classic Bells commercial,B
121,Hersheys,Good news We ARE running classic Bells commercial year lookout 😊🎶,B
122,Hersheys,😊 Were happy iconic ad bringing joy holiday season,C
123,Hersheys,Thank letting us know John We share love iconic ad happy report running BOTH iconic Bells ad new Bells Blossoms ad holiday season 😊,B
124,Hersheys,We share love classic commercial 😊 Wishing happy holiday season,B
125,Hersheys,Hi We running commercials Keep eye 😀,B
126,Hersheys,Happy baking indeed And happy NationalCookieDay 😊🍪,C
127,Hersheys,Such sweet NationalCookieDay 😊 Hope turn great,B
128,Hersheys,It ’ almost weekend… baking 😋 In honor NationalCookieDay ’ whipping batch THE Ultimate Cookie bake Sugar Cookie Blossoms Learn find recipe,C
129,Hersheys,After 30 years decided evolve Bells commercial new version honors holiday baking traditions We share love iconic Bells ad airing original new Kisses holiday ad Keep eye 😊,B
130,Hersheys,Hi Britt After 30 years decided evolve Bells commercial new version honors holiday baking traditions And happy inform original commercial still running keep eye 😊,B
131,Hersheys,Hi Janice We share love iconic Bells ad airing original new Kisses holiday ad Keep eye 😊,B
132,Hersheys,Hi Thank feedback We share love iconic Bells ad airing original new Kisses holiday ad Keep eye 😊,B
133,Hersheys,Hi Joy We share love iconic Bells ad airing original new Kisses holiday ad Keep eye 😊,B
134,Hersheys,Hi We share love iconic Bells ad airing original new Kisses holiday ad Keep eye 😊,B
135,Hersheys,Hi We share love iconic Bells ad airing original new Kisses holiday ad Keep eye 😊,B
136,Hersheys,Thank sharing sweet memories us Lisa Were happy share running iconic Bells ad new Bells Blossoms ad holiday season,B
137,Hersheys,Hi Patty Were happy share running BOTH iconic Bells ad well new Bells Blossoms ad holiday season,B
138,Hersheys,Yum Got love classic combination chocolate peanut butter 😋,B
139,Hersheys,We share love iconic Bells ad agree signifies start holidays That running BOTH iconic Bells ad new Bells Blossoms ad season 😊,B
140,Hersheys,Truly sweet memory Were happy new commercial brought joy It happens peanut butter blossoms one favorite cookies 😊,B
141,Hersheys,Thanks Bri Were happy love new commercial 😊,C
142,Hersheys,Hey Kelly We running iconic Bells commercial well new holiday commercial season 😊,B
143,Hersheys,Good news Were running iconic Bells commercial well new Bells Blossoms commercial holiday season,B
144,Hersheys,Were happy loved ❤️ Do favorite recipe bake holidays,C
145,Hersheys,One favorite cookies 😋 Do make every holiday season,B
146,Hersheys,Hey Hi We want let know airing original new Kisses holiday ad,B
147,Hersheys,Hi Laura We share love iconic Bells ad airing original new Kisses holiday ad Thanks reaching,B
148,Hersheys,Hi We share love iconic Bells ad airing original new Kisses holiday ad,B
149,Hersheys,Hi Liz We share love iconic Bells ad airing original new Kisses holiday ad,B
150,DominionEnergy,Good afternoon Im sorry hear resolved yet Please send us direct message full service address including zip code look Thank,C
151,DominionEnergy,Hi Jill Were sorry hear recent experience Please send us direct message full service address including zip code investigate Thank,B
152,DominionEnergy,Good afternoon We sorry hear extended hold times experiencing Please send us DM full address including city zip code happy look,B
153,DominionEnergy,Good Afternoon Sorry delayed response We apologize hear experience For assistance please send us direct message full address including city state zip code Thank,B
154,DominionEnergy,Good morning We sorry hear outage experienced weekend Is everything ok,D
155,DominionEnergy,Good Morning We apologize hear without power For assistance please send us direct message full address including state zip code Thank,C
156,DominionEnergy,Good Morning We happy assist For assistance please send us direct message full address including city state Thank,C
157,DominionEnergy,Protect scammers holiday season Watch suspicious links emails phone calls asking payments ActionsSpeakLouder​,C
158,DominionEnergy,Good Morning sorry hear area lost power We show power area restored Is assistance needed,C
159,DominionEnergy,Good Morning sorry hear home lost power We show power area restored Is assistance needed,C
160,DominionEnergy,Planning home shine bright holiday season Decorate LED lights use less energy last long ActionsSpeakLouder,B
161,DominionEnergy,Good Afternoon assistance please respond via direct message full address including citystatezip code,C
162,DominionEnergy,Good Afternoon truly apologize experience For assistance please respond via direct message full address including citystatezip code,C
163,DominionEnergy,Good Morning sorry hear area without power For assistance please respond via direct message full address including citystatezip code,C
164,DominionEnergy,Good Afternoon We apologize hear without power For assistance please send us direct message full address including state zip code Thank,B
165,DominionEnergy,Applications open Dominion Energy Educational Equity Scholarships 📝 Eligible students may receive awards 10000 🍎 To see qualify apply visit gtgt,D
166,DominionEnergy,Hi Christopher Were sorry hear experiencing power outage Please send us direct message full service address including zip code Thank,D
167,DominionEnergy,Good Afternoon sorry hear home without power For assistance please respond via direct message full address including citystatezip code,D
168,DominionEnergy,Good Afternoon sorry hear location without power For assistance please respond via direct message full address including citystatezip code,D
169,DominionEnergy,Want know natural gas safe energy source home Click link learn today ActionsSpeakLouder,C
170,DominionEnergy,Hi Ralph Thanks sharing We never call customers demanding make immediate payment avoid disconnection You read avoid scams,B
171,DominionEnergy,Good afternoon We sorry hear experience For assistance please reply direct message full address Thank,D
172,DominionEnergy,Oliva Chee customer projects designer celebrated Native American Heritage Month family long remember She shares customs traditions apart traditional Navajo wedding ceremony summer,A
173,DominionEnergy,Were happy exshellent partnership🐢 ensuring safety turtle populations generations come💡,B
174,DominionEnergy,Good Morning truly sorry delay For assistance could reply via direct message full address including citystatezip code,C
175,DominionEnergy,Good morning We sorry hear outage experiencing We happy look Please send us DM early convenience full address including city zip code,D
176,DominionEnergy,Good morning We sorry hear outage experienced morning If still experiencing issue please send us DM full address including city zip code happy look,C
177,DominionEnergy,Thank reaching us We happy look charge At early convenience please send us DM full address including city zip code,B
178,DominionEnergy,May tables filled love gratitude season family stay safe holiday 🦃,B
179,DominionEnergy,HI Were sorry hear experienced outage morning Please send us direct message full service address including zip code good assist,C
180,DominionEnergy,We believe ActionsSpeakLouder That ’ created EnergyShare program—to help community need,B
181,DominionEnergy,Hi James natural gas renewable natural gas RNG two different sources energy RNG turns farm food waste energy You learn renewable natural gas,B
182,DominionEnergy,Thank reaching us We sorry hear issues experiencing At early convenience please send us DM address including city state project located happy look,A-
183,DominionEnergy,As shift renewable energy sources like wind solar hydrogen amp renewable natural gas remain committed providing reliable affordable service communities serve Learn Sustainability amp Corporate Responsibility report,B
184,DominionEnergy,Hey You always report outage website Dominion Energy app I see two outages outage map Fairfax One currently crew assessing damage crew dispatched You check status,D
185,DominionEnergy,Hi Phillip social media manager 👋🏼 If live Northside crews working repair broken pole causing outage Thanks patience,B
186,DominionEnergy,Hello Tony We sorry hear experiencing outage Please DM us full address including zip code happy assist,D
187,DominionEnergy,Building culture diversity equity amp inclusion doesnt happen chance And one important part creating culture reflecting weve made meaningful progress amp still work Learn inaugural DEampI report,B
188,DominionEnergy,Good Morning Sorry delayed response Are still without power For assistance please reply direct message full address Thank,C
189,DominionEnergy,Good Morning Sorry delayed response Are still without power For assistance please reply direct message full address,C
190,DominionEnergy,Hi Zhirow Were sorry hear happened Please send us direct message full service address including zip code look Thank,B
191,DominionEnergy,Meeting Dr Jane Goodall one many good fortunes came Steve Estes decades wideranging volunteer service A true inspiration celebrating Steve one Volunteers Year 👏 Steves story heregtgt,B
192,DominionEnergy,Earlier year West chapter Veterans Employee Resource group hosted Plain Citys Annual Car Show raise money — two nonprofit groups supporting local veterans,C
193,DominionEnergy,Good Morning Sorry delayed response For assistance please send us private message full address including city state zip code Thank,C
194,DominionEnergy,When say best colleagues mean BEST colleagues💙Thank wonderful feature one Utah employees Josh Grove,B
195,DominionEnergy,As scams continue rise important know look avoid falling victim Learn spot scam ActionsSpeakLouder,B
196,DominionEnergy,Now open Enrollment Spring 2022 Project Plant It 🌻 Any adult works youth register receive FREE tree seedlings seed packets wildflowers attract pollinators 🐝 Supplies limited Learn sign today gtgt,D
197,DominionEnergy,Apologies inconvenience frustrations Typically would knocking exchanging meter sure happened apologize,C
198,DominionEnergy,Good morning Matt We sorry inconvenience To good serve please DM us full address including zip code Thank,C
199,DominionEnergy,Good Morning Sorry delayed response We apologize hear experience Please reply direct message close full address including zip code Thank,C
200,DominionEnergy,Good Morning Sorry delayed response We apologize hear lost power Are still without service Please reply direct message full address including zip code state Thank,C
201,DominionEnergy,Good Morning Sorry delayed response We apologize hear lost power Are still without service Please reply direct message full address including zip code Thank,C
202,DominionEnergy,Yall idea much youve helped us Jaime Willis founder Canes Veterans Harvested wood soon help hundreds veterans walk little easy 💙🤍 Read moregtgt,B
203,DominionEnergy,Good Morning sorry delayed response For assistance please respond via direct message full address include citystatezip code,C
204,DominionEnergy,Glad hear youre back online Our crews best 💙🤍💪,B
205,DominionEnergy,Good Morning sorry delayed response For assistance please respond via direct message full address including citystatezip code,C
206,DominionEnergy,Veterans make one five new hires Roosevelt Jones retired master gunnery sergeant shares important role Veterans employee resource group ERG plays supporting employees,A
207,DominionEnergy,Good afternoon James We sorry hear without heat To good serve please DM us providing full address zip code Thank,D
208,DominionEnergy,Saving energy means saving money From checking air filter upgrading attic insulation follow easy tips save ActionsSpeakLouder,B
209,DominionEnergy,Diegos passion renewable energy stems desire make daughter proud As electrical engineer supporting Coastal Virginia Offshore Wind project work help us generate enough clean energy power 660000 homes,C
210,DominionEnergy,Take look like fish two offshore wind pilot turbines part Coastal Virginia Offshore Wind project Since turbines installed amp began producing power little year ago area become kinds marine life,C
211,DominionEnergy,Hi Sorry delay Are still experiencing issues,B
212,DominionEnergy,Were hosting virtual career fair November 16th Virginia Customer Account Management CAM team Our CAM team members work directly customers answer questions provide support need us Learn sign today gtgt,D
213,DominionEnergy,Good Morning We sorry hear outage experienced yesterday apologize inconvenience Has power restored If please send us DM full address including city zip code happy look,D
214,DominionEnergy,Please reply direct message assistance Thank,B
215,DominionEnergy,Good Morning Rebecca Sorry delayed response Please contact Customer Account Management 1866DOMHELP 18663664357 Our account managers available 8 AM 5 PM Monday Friday,C
216,DominionEnergy,CVOW critical resource meeting clean energy goals Commonwealth Virginia essential addressing growing threat climate change across vulnerable communities,B
217,DominionEnergy,Today marks another milestone Coastal Virginia Offshore Wind Project This filing next step advancing large offshore wind project United States,C
218,DominionEnergy,Milford UT one places working reduce emissions US farms turning hog waste renewable natural gas fuel homes Learn gtgt,D
219,DominionEnergy,Good Morning Christine We sorry hear without power Please reply direct message full address assistance Thank,D
220,DominionEnergy,Good Morning We sorry hear without power For assistance please reply direct message full address Thank,D
221,DominionEnergy,Good afternoon Were sorry hear youre difficulties getting contact us regarding account Please send us direct message full service address including zip code good assist Thank,B
222,DominionEnergy,Install door sweep quick way save money energy home ActionsSpeakLouder,C
223,DominionEnergy,Thank We happy issue resolved If assistance needed please let us know Thank,D
224,DominionEnergy,For assistance please respond via direct message,B
225,DominionEnergy,We truly apologize delay appreciate patience,B
226,DominionEnergy,Good Morning Sorry delayed response Are still without power,C
227,DominionEnergy,We sorry hear power outage apologize inconvenience Please send us direct message fullservice address including city state zip code well happy assist Thank,D
228,DominionEnergy,Good morning We sorry hear issues youve experienced street light We understand concerns Please send us direct message fullservice address including city state zip code assist,C
229,DominionEnergy,Dominion Energys frontline workers power help shed light communities work Thank frontline worker today ActionsSpeakLouder 👻🎃,B
230,DominionEnergy,Good Afternoon We apologize hear without power Please send us direct message assistance Thank,B
231,DominionEnergy,Good Afternoon Joe We apologize hear without power For assistance please send us direct message full address including city state zip code Thank,B
232,DominionEnergy,Good Morning We sorry hear without power For assistance please reply direct message full address Thank,D
233,DominionEnergy,As consulting engineer Mamadou works ensure solar renewable energy projects safely reliably integrate electric grid — ultimately powering homes businesses clean energy Learn gtgt,D
234,DominionEnergy,Good Morning Desiree Sorry delayed response Are still without power Please reply direct message full address assistance Thank,C
235,DominionEnergy,Weve got dedicated employees 🛠️👏,B
236,DominionEnergy,Love hear Thanks letting us know glad youre back running Our crews best,B
237,DominionEnergy,The future bright solar energy Ohio 🌞🌞 Learn gtgt,D
238,DominionEnergy,Good Afternoon We apologize hear lost service Please send us direct message full address including state zip code Thank,C
239,DominionEnergy,Good Afternoon Jonathan We apologize hear lost service For assistance please send us direct message full address including state zip code Thank,B
240,DominionEnergy,Fostering inclusive workplace positive impact employees caregivers families Jacob Cornwell dad Mike share experience DiverseAbility Employment Initiative gtgt NDEAM,D
241,DominionEnergy,You quite welcome Have good day,C
242,DominionEnergy,Good morning We sorry hear without power If still without power please send us direct message fullservice address including city state zip code assist Thank,C
243,DominionEnergy,Good afternoon We sorry hear power outage At early convenience please send us direct message fullservice address including city state zip code assist Thank,D
244,DominionEnergy,Were proud first offshore turbine blade finishing facility US help supply blades Coastal Virginia Offshore Wind project Virginia creating clean energy jobs leading way offshorewind Learn gtgt,D
245,DominionEnergy,Good afternoon We sorry hear frequent power outages apologize inconvenience At early convenience please send us direct message fullservice address assist Thank,B
246,DominionEnergy,The first offshore wind blade facility United States coming Hampton Roads Learn helping create supply chain hub clean energy Virginia gtgt,D
247,DominionEnergy,Good Morning Tia Sorry delayed response We apologize hear lost service Are still without power Please respond direct message full address including zip code Thank,C
248,DominionEnergy,Hi Mario would happy look dont access account info Please give us call 18003627557 assist,B
249,DominionEnergy,Good Afternoon sorry delayed response For assistance please respond via direct message full address including citystatezip code,C
250,DominionEnergy,Thank information There assistance needed,C
251,DominionEnergy,Good Afternoon assistance please respond via direct message full address including citystatezip code,C
252,DominionEnergy,Good Afternoon assistance please reply via direct message full address including citystatezip code,C
253,DominionEnergy,Our internship opportunities great way students explore career energy Openings 2022 summer interns added updated gtgt CareersInEnergyWeek,D
254,DominionEnergy,Good Morning We sorry hear experienced outage If still experiencing outage please DM us full address including zip code happy report Thank,D
255,DominionEnergy,Good Afternoon We apologize hear lost power Please send us direct message full address including city state zip code Thank,B
256,DominionEnergy,Hi Carrie Thank much sharing kind words us Wed love pass feedback along Would mind sending us direct message city state zip code,B
257,DominionEnergy,A beautiful tribute honor former CEO,B
258,DominionEnergy,Access account quickly Dominion Energy app ActionsSpeakLouder,B
259,DominionEnergy,Good Morning We happy assist Ted Please reply direct message full address including city state zip code Thank,C
260,DominionEnergy,Good Morning Sorry delayed response We apologize lost power Are still without service Please reply direct message full address including city state zip code Thank,C
261,DominionEnergy,Hi try number 8663664357 Youre also able submit online page,A-
262,DominionEnergy,Good Morning sincerely apologize delay For assistance please respond via direct message full address including citystatezip code,C
263,DominionEnergy,Wil learned values hard work integrity respect mother today passing values daughters Read gtgt,D
264,DominionEnergy,In addition generating clean energy Virginia first two offshore wind turbines also part new thriving ecosystem thats attracting marine life mussels algae mahi seabass baitfish,B
265,DominionEnergy,Good Afternoon We apologize hear website issues For assistance please send us direct message full address including city state zip code Thank,B
266,DominionEnergy,Good Afternoon We apologize hear website issues For assistance please send us direct message full address including city state zip code Thank,B
267,DominionEnergy,Good Afternoon We apologize hear website issues experiencing For assistance please send us direct message full address including city state zip code Thank,B
268,DominionEnergy,Good Morning We apologize hear website issues For assistance please send us direct message full address including city state zip code Thank,C
269,DominionEnergy,Good morning Im sorry hear youre unable access website So look may I please city state zip code,C
270,DominionEnergy,Adam student Virginia State University spent summer customer projects design intern Openings 2022 Summer interns added updated gtgt,D
271,DominionEnergy,If sincere diversifying workforce says Dr investing institutions great single way get skilled diverse talent nations companies Read HBCU Promisegtgt,B
272,DominionEnergy,Renewable natural gas reduces carbon footprint creating clean energy consumers,C
273,DominionEnergy,According 1 4 adults US disability impacts major life activities Read perspective one employees learn make workplace inclusive disability gtgt NDEAM,D
274,DominionEnergy,Through Dominion Energy Charitable Foundation proud support organizations making difference communities serve Learn partnering organizations meet needs Hispanic Latino communities gtgt,D
275,DominionEnergy,Good Afternoon Linda We sorry see occurring For assistance please send us direct message full address including city state zip code Thank,B
276,DominionEnergy,Before tackling DIY project requires digging contact 811 Why ​ You need know whats ActionsSpeakLouder,A-
277,DominionEnergy,Yikes Thanks patience Our crews scene making repairs restore power quickly safely possible,B
278,DominionEnergy,Good Morning Sorry delayed response We apologize hear experience For assistance please send us direct message full address including city state zip code Thank,C
279,DominionEnergy,Heroes serving heroes Dozens West Virginia employees veterans employee resource group beautified grounds West Virginia Veterans Nursing Facility Fresh flowers amp plants brighten area residents enjoy🌻 Full storygtgt,B
280,DominionEnergy,Good Morning Sorry delayed response We sorry hear home lost service Are still without power,C
281,DominionEnergy,Good Afternoon Thank reaching us concerns recent bill At early convenience please DM full address zip code happy assist Thank,D
282,DominionEnergy,Good Afternoon Were sorry hear without power For assistance could reply full address including zip code,D
283,DominionEnergy,Good Afternoon We sorry hear without power For assistance please respond via direct message full address including zip code,D
284,DominionEnergy,I feel help new immigrants process adjusting living United States says Lorena Mazarro Lorenas multilingual abilities make difference Spanishspeaking customers need More Lorenas journeygtgt,B
285,DominionEnergy,Good Morning Michelle Sorry delayed response We apologize hear experience For assistance please send us direct message full address including city state zip code Thank,C
