,user,content,score,prediction
47,CSX,New England ’ rail service competitiveness modes substantially enhanced proposed CSXPan Am merger approved says Francis Mulvey transportation consultant former Vice Chairman STB,A,A
48,CSX,CSX proud partner 100000 Steps Towards Social Justice initiative CSX employees volunteers helped support students teachers Highlands Middle School Jacksonville FL head backtoschool CSX100k,A,A
49,CSX,CSX transportation experts provide innovative solutions rapidly changing logistics environments help capitalize market opportunities The renovated TRANSFLO warehouse Kearny NJ unique asset CSX ’ expanded valueadded supply chain solutions customers,A,A
50,CSX,From coordinating train truck movements implementing cool new technologies two days ever Jana job CSX Senior Terminal Manager And thats likes Discover rewarding career CSX Apply IAmCSX,A,A
51,CSX,CSX moves ton freight 533 miles single gallon fuel We ’ dedicated providing sustainable supply chain solutions help move America forward – great fuel efficiency Learn CSXESG,A,A
52,CSX,Teamwork diversity opportunity help deliver great customer experience – three reasons CSX Systems Management Analyst Jenica Gerales says ’ proud role CSX Make move rewarding CSX career – Apply IAmCSX BestPlacesIT,A,A
53,CSX,CSX Executive Vice President Sales Marketing Kevin Boone address Deutsche Bank Transportation Conference tomorrow 1 pm ET Watch virtually,A,A
54,CSX,Summer safety reminder Rails recreation mix It ’ never safe walk play railroad tracks,A,A
55,CSX,Congrats CSX VP Internal Audit Compliance Tammy Butler selected Women Influence honoree Her leadership approach contributions community company throughout CSX career inspiration team,A,A
56,CSX,Grow business Tennessee shovelready site dual certified CSX Tennessee Southern Railroad The Columbia Tennessee Rail Site strategically located help operate low risk fast speed market,A,A
57,CSX,The CSX merger strengthen economy lead needed investment regional rail infrastructure says former Massachusetts Lt Governor amp PresidentCEO Tim Murray,A,A
58,CSX,A good work ethic enthusiasm powerful machinery commitment moving America ’ vital goods ’ driven Locomotive Engineer Conductor Tony Salas CSX career nearly 30 years Find purpose career – Apply today IAmCSX,A,A
59,CSX,BREAKING CSX merger receives approval Northern New England Passenger Rail Authority one New England ’ large passenger rail trade authorities primary state sponsor Amtrak ’ Downeaster passenger rail service,A,A
60,CSX,This week CSX honored sponsor Military Appreciation Night Our Military Inclusion Group members employment recruiters came give home team love show support current former service members CSXPrideInService,A,A
61,CSX,CSX hosting Responder Incident Training Nashville giving first responders insights railrelated emergencies Thank Tennessee Representative Senator coming learn partner local agencies across network,A,A
62,CSX,There 200000 grade crossings United States So see tracks think train Always safe around railroad crossings,A,A
63,CSX,CSX employee Henry Chou followed dream working railroad amp discovered career ’ part team provides quality customer service amp delivers vital goods keep America moving Discover new career heights Apply today IAmCSX,A,A
64,CSX,A CSXPan Am merger gaining additional support stakeholders Northeast region If approved merger provide significant benefits shippers passenger rail users local communities CSX integrates Pan Am bestinclass network,A,A
65,CSX,CSX employees transportation experts unyielding focus providing customers safe reliable efficient sustainable service The great results delivered 2020 documented recently released CSXESG Report Review,A,A
66,CSX,Leadership Dedication Teamwork These skills Mike Drummond honed military service continues build CSX career Join company values veterans help us deliver vital goods across America HireAVeteranDay IAmCSX,A,A
67,CSX,With 19000 CSX employees people great strength Their commitment working together move America ’ critical freight economy recovered helped us meet todays challenges support customers ’ supply chain needs,A,A
68,CSX,CSX continues invest people infrastructure technologies ensure deliver bestinclass service product ’ safe reliable sustainable Learn Download CSX Q2 2021 performance materials,A,A
69,CSX,CSX CEO Jim Foote provides insights Q2 2021 earnings results Download performance information,A,A
70,CSX,CSX positioned growth – relentlessly focused delivering high quality service supply chain solutions enable customers meet business needs growth targets Learn Download CSX Q2 2021 performance materials,A,A
71,CSX,Tune LIVE today 430 pm ET CSX announces financial operating results Q2 2021 Nasdaq,A,A
72,CSX,CSX employee Vicky Tench team design websites apps technologies easy customer use She says CSX culture collaboration helps drive creativity Join team ’ helping redefine freight transportation IAmCSX BestPlacesIT,A,A
73,CSX,Last week CSX joined forces Jacksonville FL distribute 300 backpacks filled school supplies children military families We ’ proud sponsor event support nation ’ service members CSXPrideInService,A,A
74,CSX,Today CSX proudly hosted US Buttigieg Chicago facility During tour EVP Operations Jamie Boychuk highlighted critical role freight railroads US economy importance infrastructure keeps America ’ supply chain strong,A,A
75,CSX,CSX named Best Place Work IT amp Our innovative employees delivering technologies advance performance safety service power provision supply chain solutions BestPlacesIT,A,A
76,CSX,Demarcus 2nd generation railroader joined CSX 15 years ago The company provided training opportunities strengthened skillset advanced career helped support family Move career forward CSX Apply IAmCSX,A,A
77,CSX,For third consecutive year CSX recognized one America ’ Best Places Work DisabilityInclusion We committed fostering inclusive environment proud see commitment reflected 2021 Disability Equality Index,A,A
78,CSX,In partnership proud celebrate Christmas July help distribute thousands care packages deployed military members Thank CSX employees volunteered put together paracord bracelets included packages CSXPrideInService,A,A
79,CSX,CSX believes conducting business sustainable way benefits customers employees communities shareholders Visit view new CSX ESG Report recent performance highlights commitments 2021 beyond CSXESG,A,A
80,CSX,CSX workdays full interesting interactions great people dynamic equipment Ed joined CSX nearly 30 years ago discovered opportunities learn new skills advance career mentor others Move career forward CSX – Apply IAmCSX,A,A
81,CSX,Wherever Independence Day plans take remember always stay safe alert around railroad tracks Happy 4th July,A,A
82,CSX,CSX submitted expanded application acquisition Pan Am Railways outlining benefits transaction – extend CSX ’ service reach create new efficiencies market prospects growth opportunities customers,A,A
83,CSX,CSX pleased announce acquisition – North Americas leading bulk liquid chemicals trucking carrier – complete paving way us provide customers new opportunities multimodal supply chain solutions,A,A
84,CSX,Move career forward CSX We ’ setting pace change transportation industry – moving America ’ critical goods safe smart efficiently ever Join team gamechangers Apply,A,A
85,CSX,CSX observing PrideMonth recognizing contributions LGBTQ individuals supporting efforts end inequities Barbara Poma founder joined CSX discuss changes nation ’ social justice programming since Pulse Nightclub tragedy,A,A
86,CSX,CSX proud recognized 2021 Green Supply Chain Partner Through new technology systems sustainability initiatives operating practices CSX fulfilling commitment environmentally sustainable operations CSXESG,A,A
87,CSX,The Howard Street Tunnel Project received final environmental approval – great step toward seeing first doublestacked CSX train move Modernizing tunnel give customers costeffective way transport freight reduce highway congestion,A,A
88,CSX,For dads delivering families – lovingly resiliently protectively – wish happy FathersDay,A,A
89,CSX,CSX proud commemorate Juneteenth nation ’ new federal holiday date marks occasion celebrate well opportunity learn cultural diversity always part American story,A,A
90,CSX,Safety high priority everything CSX ’ pleased use donated car safety training sessions,A,A
91,CSX,CSX Police Agent Jaime Hernandez equipped right training safety focus help save life cyclist In recognition actions Jaime nominated Lifesaving Award Professional Responders Congratulations Jaime,A,A
92,CSX,CSX proud work safely efficiently deliver comprehensive supply chain solutions The new South Carolina transloading terminal offers customers strategic access CSX ’ extensive rail network great opportunities growth,A,A
93,CSX,Today announce changes demonstrate depth senior leadership Mark Wallace appointed executive vice president CSX Kevin Boone executive vice president Sales Marketing Sean Pelkey vice president acting chief financial officer,A,A
94,CSX,Congrats Total Distribution Services Inc TDSI team earning Destination Terminal Year Origin Terminal Year awards You embody CSX service commitment Learn,A,A
95,CSX,CSX CEO Jim Foote address Bernstein Strategic Decisions Conference tomorrow 900 EST View webcast,A,A
96,CSX,Today remember brave men women made ultimate sacrifice service country fellow Americans CSX proud honor memory service support country ’ active military members veterans MemorialDay,A,A
97,CSX,CSX Police Agent Nicole Ferry long history serving serve CSX proud offer resources support commitments community volunteerism MilitaryAppreciationMonth CSXPrideinService,A,A
98,CSX,CSX celebrates Asian Pacific American Heritage Month recognizing generations Asians Pacific Islanders enriched communities company country APAHM PoweredByGreatness,A,A
99,CSX,CSX CFO Kevin Boone address Wolfe Research Transportation Industrials Conference tomorrow 910 EST View webcast,A,A
100,CSX,CSX proud strong women leaders empower others Last week Christina Stallings Kim Bowling shared knowledge fellow railroaders Convention Kathleen Gallavan Dana Robles also took leadership roles organization,A,A
101,CSX,CSX Business Development Manager Aubrey Brown appointed Florida Freight Advisory Committee On committee Aubrey advise freightrelated priorities issues projects ensure continued safe transportation goods Florida,A,A
102,CSX,CSX Senior Business Development Manager Adam Hess recently featured America ’ Jobs Team podcast Listen Adam discusses pandemic impacted economic development demand supply chains,A,A
103,CSX,Arthur Adams CSX SVP Sales join webinar 521 discuss issues impacting rail North Carolina significant contribution freight rail transportation economy,A,A
104,CSX,CSX proud join amp 100000 Steps Towards Social Justice initiative support diversity inclusion equity CSX employees families helped prepare school supplies students Anita J Turner Elementary Washington DC CSX100k,A,A
105,CSX,CSX proud celebrate two railroaders making impact railroad communities Congratulations Chris Bennett Amanda DeCesare named ’ Rising Stars 2021,A,A
106,CSX,Railroads essential America CSX railroaders keep freight moving across country Spend day CSX freight conductor see like start career railroad Learn,A,A
107,CSX,On ArmedForcesDay salute military men women honorably serving country fellow Americans Through CSXPrideInService community investment program proud support nations military members today throughout year,A,A
108,CSX,CSX reached agreement acquire Inc large provider bulk liquid chemical truck transportation North America This acquisition enable CSX expand comprehensive supply chain solutions provide customers,A,A
109,CSX,As part NationalPoliceWeek CSX salutes K9 Officers Hondo Shelby retirement years service protecting CSX personnel infrastructure public,A,A
110,CSX,Today CSX celebrating moms – constantly bringit delivering care support everything ’ needed help keep lives track For going distance us every day extra mile ’ gone past year wish HappyMothersDay,A,A
111,CSX,Congratulations Brian Gorton named new President Chief Operating Officer Conrail CSX looks forward continuing successful partnership Conrail Brian ’ leadership,A,A
112,CSX,Thanks everyone participated Annual Meeting Shareholders CSX investing technology infrastructure providing comprehensive supply chain solutions We remain committed delivering longterm profitable growth transportation industry leader,A,A
113,CSX,CSX Police Agent Tom Gonzales exemplifies CSXPrideInService spirit Read personal story shared community partner learn ’ proud support service country commitment military families,A,A
114,CSX,Our CSXPrideInService community investment program awarded 2021 CSR amp Diversity Award Community Affairs Thank employees partners vital support provide,A,A
115,CSX,Congrats CSX CFO Kevin Boone recognized 2021 Ultimate Finance Executive As key member CSX ’ executive team Kevin ’ leadership helped CSX navigate challenges 2020 prepare growth postpandemic economy,A,A
116,CSX,This morning CSX President CEO Jim Foote spoke Conference shared insights CSX ’ highperformance intermodal service commitment meeting customers ’ needs,A,A
117,CSX,CSX VP Intermodal Automotive Maryclare Kenney took part panel Conference today discuss CSX ’ diverse supply chain solutions helped keep shipments moving amid pandemic ’ supporting growing reach ports like Savannah,A,A
118,CSX,Grow business 400 acres shovelready land fully served utilities ideal development Montgomery Alabama The Wasden Road Industrial Site ready help operate low risk fast speed market,A,A
119,CSX,CSX excited opportunities new partnership OmniTRAX River Ridge Commerce Center present existing prospective customers grow businesses reach large markets,A,A
120,CSX,On EarthDay reflect vital importance making positive changes improve environment CSX proud sustainability leader transportation industry press forward support customers driving change improve performance,A,A
121,CSX,CSX EVP Sales Marketing Mark Wallace recognized one 2021 Readers ’ Influential Leaders Mark driving innovative databased solutions helping CSX grow service provider proactive supply chain partner Congrats Mark,A,A
122,CSX,CSX employees best business Their hard work commitment excellence helped us remain strong amidst winter challenges resulting solid start 2021 Download CSX Q1 2021 performance materials,A,A
123,CSX,With relentless focus providing customers efficient industryleading service CSX positioned growth Download CSX Q1 2021 performance materials,A,A
124,CSX,CSX dramatically transformed way operates delivering strong results past three years Download CSX Q1 2021 performance materials,A,A
125,CSX,CSX CEO Jim Foote provides insight Q1 2021 earnings results Download performance materials,A,A
126,CSX,Tune LIVE today 430 pm ET CSX announces financial operating results Q1 2021 Nasdaq,A,A
127,CSX,DidYouKnow network serves large population centers nation Nearly 23 Americans live within CSX service territory When reaching people counts count CSX,A,A
128,CSX,With CSXPrideInService partner ’ celebrating another Blue Star Community Changemaker We ’ proud recognize Mitch mentoring MilKids parents deployed Check story,A,A
129,CSX,It ’ RailDay2021 CSX employees excited engaging virtual meetings policymakers freight railroads helping nation recover COVID19 supporting job creation driving sustainability increasing country ’ productivity CSXRailDay,A,A
130,CSX,CSX Senior Director Salmaan Wahidi recognized 40 Under 40 honoree Salmaan ’ financial planning analysis crucial success CSX ’ operational transformation Congratulations Salmaan,A,A
131,CSX,CSX CEO Jim Foote “ IN ” campaign advance disability inclusion initiatives He joined prominent business heads became first leader Class I railroad sign CEO Letter Disability Inclusion,A,A
132,CSX,Through CSXPrideInService ’ teaming introduce Blue Star Community Changemakers—members military community making positive change Read Erica ’ story “ instant ” solution much needed pandemic,A,A
133,CSX,Grow metal products business CSX ’ South Alabama Mega Site With 3000 acres strategically located shovelready land low risk increase speed market CSX Select Site,A,A
134,CSX,CSXPrideInService nominated 2021 International Corporate Citizenship Film Festival Watch vote video “ Medium Companies ” category learn ’ support active military veterans first responders,A,A
135,CSX,Congratulations Hannah C Angela C winning CSXPrideinService card design contest Today begins MonthoftheMilitaryChild excited send cards 5000 Battalion Buddy bear care packages military families,A,A
136,CSX,As WomensHistoryMonth comes close proud recognize contributions women employees CSX Among Vernice Pryor achieved rewarding 43year career railroad PoweredByGreatness,A,A
137,CSX,A article highlights CSX Select Site Bryan County Georgia helping drive development area Along partner Genesee Wyoming ’ looking forward developing railserved opportunities site,A,A
138,CSX,Denise Wilder started CSX 13 years ago thrived alongside dedicated team solving new challenges every day Her advice women interested joining railroad career choice feel confident skills WomensHistoryMonth PoweredByGreatness,A,A
139,CSX,Today joined sign agreement enhance rail infrastructure Va,A,A
140,CSX,CSX CEO Jim Foote participate today ’ event Alexandria Va along important rail announcement Tune live,A,A
141,CSX,As part Transportation Innovators series VP Intermodal Automotive Maryclare Kenney tells ’ optimistic CSX ’ future growth CSX team using creative sustainable solutions deliver customers Read article,A,A
142,CSX,Today last day cast vote MonthoftheMilitaryChild card contest Vote favorite Adult Child design go CSXPrideinService Battalion Buddy care packages going 5000 military families,A,A
143,CSX,Help us pick winning design MonthoftheMilitaryChild card contest The top card Adult Child categories accompany Battalion Buddy bear deliveries 5000 military families Vote favorite category,A,A
144,CSX,In honor NationalPuppyDay ’ excited welcome new recruits CSX ’ K9 team We already tell ’ going pawsome job helping protect CSX personnel infrastructure public part CSX Police Department,A,A
145,CSX,We ’ holding contest CSX employees families design cards special CSXPrideinService MonthoftheMilitaryChild Battalion Buddy care packages We ’ wait see designs Check back next week find vote favorite,A,A
146,CSX,CSX proud member Operation Clean Sweep initiative achieve zero loss plastic pellets flake powder environment CSX moves thousands tons plastic resins annually Learn More,A,A
147,CSX,Grow forest products business less risk fast speed market CSX Select Site Tuskegee Alabama – 277 acres shovelready land easy access CSX mainline highways Port Mobile,A,A
148,CSX,CSX CEO Jim Foote address Industrials Conference tomorrow 940 EST Listen,A,A
149,CSX,Our logistics experts utilize innovative technologies provide seamless shipping experiences customers Learn CSX help maximize supply chain efficiently deliver shipments,A,A
150,3M,Hello We sorry see It would expect product Please connect product support team directly Thank,D,D
151,3M,To drive great equity communities improving urban mobility designing safe streets work well everyone Learn,D,D
152,3M,Hello Thank reaching us For product information please go Thank,D,D
153,3M,Excited work participant BetterClimateChallenge Weve committed reducing greenhouse gas emissions 50 2030 amp sharing climate solutions See helping lead shift clean energy economy,D,D
154,3M,Hello Were sorry hear experience Please connect 3M Scotch support team link good assist Thank,D,D
155,3M,Thanks highlighting importance mental health YoungScientist Challenge winner Sarah Park inspired develop winning project idea music therapy treatment helps people find music heals Cant wait see Sarah next 👏🏅,D,D
156,3M,Hello Thank asking These Command Hooks use Small Refill Strips product number 17022CLR Please feel free connect Command UK team additional questions concerns Thank,D,D
157,3M,Hello We recommend obtaining PPE 3M authorized distributors offers great assurance youll receive authentic 3M products Please refer details following page help detecting fraud counterfeit products,D,D
158,3M,Hello We sorry hear trouble Please connect product support team directly 18004943552 MF 8am430pm CT Thank,D,D
159,3M,Hello Thank reaching us More information found Thank,D,D
160,3M,Hello Were sorry hear experience Please send us DM good assist Thank,D,D
161,3M,Proud announce docuseries NotTheScienceType selected 2022 sanctioned event This docuseries highlights four brilliant minds showcasing women break boundaries within fields,D,D
162,3M,Hello We sorry hear trouble Please connect Command Brand Product Support Team directly 18009347355 MF 8am430pm CT Thank,D,D
162,3M,Hello We sorry hear trouble Please connect Command Brand Product Support Team directly 18009347355 MF 8am430pm CT Thank,D,D
162,3M,Hello We sorry hear trouble Please connect Command Brand Product Support Team directly 18009347355 MF 8am430pm CT Thank,D,D
163,3M,Hello We sorry hear trouble Please connect Command Brand Product Support Team directly 18009347355 MF 8am430pm CT Thank,D,D
163,3M,Hello We sorry hear trouble Please connect Command Brand Product Support Team directly 18009347355 MF 8am430pm CT Thank,D,D
163,3M,Hello We sorry hear trouble Please connect Command Brand Product Support Team directly 18009347355 MF 8am430pm CT Thank,D,D
164,3M,How 3M help make Halloween spooktacular From helping little ghouls shine bright night making decorations stick stick share using 3M Science get spooky spirit like skeleton costume,D,D
165,3M,Hello We recommend obtaining PPE authorized 3M distributors offers great assurance receive authentic 3M products Please refer following page help fraud avoiding counterfeit products Thank,D,D
166,3M,Please feel free connect Command Product Team directly may gather details help,D,D
167,3M,We honored one years WorldsBestWorkplaces Thank recognition 3Mers applying science ways help make positive impact peoples lives LifeWith3M,D,D
168,3M,Hello Thank reaching We make refill adhesives hooks Our Large Command Hooks use Large Refill Strips Please use buy feature find local online purchasing options Thank,D,D
169,3M,We sorry hear missing hooks Unfortunately General Command hooks designed hang pictures We would recommend Command Picture Hanging Products instead Please DM us size weight frames We would like help,D,D
170,3M,Proud included firstever “ Brands That Matter ” list honors companies amp nonprofits undeniable impact business amp culture 2020 Its testament inspiring actions 3Mers everywhere LifeWith3M,D,D
171,3M,We proud years 3M YoungScientist Challenge winner 14yearold Sarah Park Learn inspiring teen created device called Spark Care music therapy treatment help people feeling depressed anxious,D,D
172,3M,Hello Were sorry hear experience The 3M India team reached link local business hours good assist Thank,D,D
173,3M,Hello Thank reaching us The 3M India team reached link local business hours good assist Thank,D,D
174,3M,Hello 3M Command Picture Hanging Strips designed mount TVs We product would recommend mounting TV,D,D
175,3M,Hello We sorry hear trouble Please connect Command Product Support Team directly 18009347355 MF 8am430pm CT Thank,D,D
176,3M,Congratulations YoungScientist Samarth Mahapatra voted years Improving Lives Award winner He deployed edge computing amp advance vision algorithms help people vision impairments cook ease Learn winning project,D,D
177,3M,Hello Thank reaching us What help,D,D
178,3M,Toolfree holefree damagefree It ’ motivated hanging solutions 25 years Here ’ next 25 years sticking know best empowering everyday creativity innovation inspired CommandDoNoHarm,D,D
179,3M,Hello Were sorry hear experience Please send us private message good assist Thank,D,D
179,3M,Hello Were sorry hear experience Please send us private message good assist Thank,D,D
180,3M,Hello Thank messaging us Please provide country youre connect 3M team region Thank,D,D
180,3M,Hello Thank messaging us Please provide country youre connect 3M team region Thank,D,D
181,3M,Hello We sorry see It would expect removing adhesives using removal steps Please connect Command Brand product support team directly Thank,D,D
182,3M,Congratulations 3M YoungScientist Challenge winner 13yearold Sarah Park She developed Spark Care music therapy treatment helps people find music heals Give Sarah amp top ten finalists 👏👏👏 Learn winning project,D,D
183,3M,Hello Thank reaching us To learn judging process please go Thank,D,D
184,3M,Hello Thank messaging us Please provide country youre connect 3M team region Thank,D,D
184,3M,Hello Thank messaging us Please provide country youre connect 3M team region Thank,D,D
185,3M,Introducing next generation scientists dedicated improving world science Watch live ten finalists present final innovations Tonight one finalists named Americas Top YoungScientist,D,D
186,3M,The 3M YoungScientist Challenge going live Follow livestream 1 PM EST see top 10 finalists present final innovations Tonight one named Americas Top YoungScientist,D,D
187,3M,So proud incredible work Day 1 YoungScientist Challenge,D,D
188,3M,Sorry hear difficulty This page managed bby team US recommend contact 3M UK You find contact information link,D,D
189,3M,Sorry hear difficulty This page managed team US recommend contact 3M Brazil You find contact information link,D,D
190,3M,Sound hear 3M YoungScientist Mentors ’ incredible words encouragement participants Each mentor proud far students come Watch LIVE final presentations streaming 1PM ET Tues Oct 19th,D,D
191,3M,Sorry hear difficulty Please contact product support team 18009347355 MonFri 8am430pm CT gather details understand happened,D,D
191,3M,Sorry hear difficulty Please contact product support team 18009347355 MonFri 8am430pm CT gather details understand happened,D,D
191,3M,Sorry hear difficulty Please contact product support team 18009347355 MonFri 8am430pm CT gather details understand happened,D,D
192,3M,Hello We sorry hear trouble This would expect Please connect Command Brand product support team directly 18009347355 MF 8am430pm CT,D,D
193,3M,The 3M YoungScientist Challenge going virtual Register watch top 10 finalists compete challenges present final innovations amp find LIVE Americas Top YoungScientist Sign,D,D
194,3M,Were happy welcome Kulu polar bear 🐻‍❄️ Hes track help us test new innovative tracking device brought life 3M scientists amp This another step forward help improve research least impact possible,D,D
195,3M,Hello We sorry hear trouble We would expect product like Please connect support team directly Thank,D,D
196,3M,Hello We sorry hear trouble Please connect Command Brand product support team directly 18009347355 MF 8am430pm CT Thank,D,D
196,3M,Hello We sorry hear trouble Please connect Command Brand product support team directly 18009347355 MF 8am430pm CT Thank,D,D
197,3M,The 10 finalists participating 3M YoungScientist Challenge applying power STEM discover realworld solutions Cast vote project think helping improve lives Voting ends Friday Oct 15th,D,D
198,3M,Hello We sorry hear trouble This would expect removing Command Brand adhesives using removal steps Please connect Command Brand product support team directly 18009347355 MF 8am430pm CT Thank,D,D
199,3M,Thank flagging us Well share COVID19 Fraud team Thanks,D,D
200,3M,The unique aspect YoungScientist Challenge finalists work alongside 3M Scientist Mentors help solve real world problems Give mentors hand inspiring young minds👏 Tune Oct 19th final event,D,D
201,3M,As pandemic unfolds continue work local regional governments help direct PPE serve areas Please connect local 3M office choose country find Help Center link located bottom page Thank,D,D
202,3M,Hello Were sorry hear experience Please send us private message good assist Thank,D,D
